question,sentence,label,idx
What kind of statement is made in the effort of establishing the time and space requirements needed to enhance the ultimate number of problems solved?,"For the complexity classes defined in this way, it is desirable to prove that relaxing the requirements on (say) computation time indeed defines a bigger set of problems.",1,176
Which findings suggested that the region was densely populated?,"For a long time, it was thought that the Amazon rainforest was only ever sparsely populated, as it was impossible to sustain a large population through agriculture given the poor soil.",1,2780
How was coal transferred from the river banks to colliers?,"In the Sandgate area, to the east of the city and beside the river, resided the close-knit community of keelmen and their families.",1,2255
"When was the ""Dalekmania"" period?","The first of these was the ""Dalekmania"" period (circa 1964–1965), when the popularity of the Daleks regularly brought Doctor Who ratings of between 9 and 14 million, even for stories which did not feature them.",0,2489
What was the name of the set top box manufacturer that BSkyB was having issues with?,"In the week before the launch, rumours started to surface that BSkyB was having supply issues with its set top box (STB) from manufacturer Thomson.",0,3812
How old was Tesla when he became a citizen of the US?,"On 30 July 1891, at the age of 35, Tesla became a naturalized citizen of the United States, and established his South Fifth Avenue laboratory, and later another at 46 E. Houston Street, in New York.",0,2886
What did Aristotle refer to forced motion as?,"He distinguished between the innate tendency of objects to find their ""natural place"" (e.g., for heavy bodies to fall), which led to ""natural motion"", and unnatural or forced motion, which required continued application of a force.",0,2200
How many touchdowns did Newton have in 2015?,"The Panthers backfield featured Pro Bowl running back Jonathan Stewart, who led the team with 989 rushing yards and six touchdowns in 13 games, along with Pro Bowl fullback Mike Tolbert, who rushed for 256 yards and caught 18 passes for another 154 yards.",1,5340
What effect did Genghis Khan's career have on communication and trade across Asia?,"In Turkey, Genghis Khan is looked on as a great military leader, and it is popular for male children to carry his title as name.",1,1845
What US war has a large amount of Civil Disobedients?,"During the Vietnam War era, the Chicago Eight used a political defense, while Benjamin Spock used a technical defense.",0,4455
The Cast Courts display plaster casts of what objects?,"One of these is dominated by a full-scale replica of Trajan's Column, cut in half in order to fit under the ceiling.",1,4753
What halftime performer previously headlined Super Bowl XLVII?,"The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively.",0,3266
Which company owns ABC?,"The Walt Disney Company (which also owns ABC), Sony Pictures, Universal, MGM, Paramount Pictures, 20th Century Fox, and Warner Brothers.",0,3585
What is considered the centerpiece of the Jameel Gallery of Islamic Art?,"The Jameel Gallery of Islamic Art, opened in 2006, houses a representative display of 400 objects with the highlight being the Ardabil Carpet, the centrepiece of the gallery.",0,3569
What was the goal of this Roman disobedience?,The earliest recorded incidents of collective civil disobedience took place during the Roman Empire[citation needed].,1,2808
"Upon hearing the final product, what was the creator quoted as saying?","On hearing the finished result, Grainer asked, ""Did I write that?""[citation needed]",0,3836
Who build the major port city in Kenya?,"By the 15th-century, Portuguese voyager Duarte Barbosa claimed that ""Mombasa is a place of great traffic and has a good harbour in which there are always moored small craft of many kinds and also great ships, both of which are bound from Sofala and others which come from Cambay and Melinde and others which sail to the island of Zanzibar.""",1,3256
From which country did the Rococo Augustus Rex Bureau Cabinet come from?,"There are a set of beautiful inlaid doors, dated 1580 from Antwerp City Hall, attributed to Hans Vredeman de Vries.",1,4180
What has been characterized as Arminian theology with an emphasis on the work of the Holy Spirit?,"Wesleyan theology stands at a unique cross-roads between evangelical and sacramental, between liturgical and charismatic, and between Anglo-Catholic and Reformed theology and practice.",0,354
What technique was used to decorate the east side of the building?,"Continuing the style of the earlier buildings, various designers were responsible for the decoration, the terracotta embellishments were again the work of Godfrey Sykes, although sgraffito was used to decorate the east side of the building designed by F. W. Moody, a final embellishment were the wrought iron gates made as late as 1885 designed by Starkie Gardner, these lead to a passage through the building.",0,436
What was the containment failure rate in a tobacco plant study using plastid transformation?,"This makes plastid transformation a valuable tool for the creation and cultivation of genetically modified plants that are biologically contained, thus posing significantly lower environmental risks.",1,2601
Who was the ABC Radio president in 1968?,"In July 1968, ABC Radio launched a special programming project for its FM stations, which was spearheaded by Allen Shaw, a former program manager at WCFL in Chicago who was approached by ABC Radio president Harold L. Neal to develop a format to compete with the new progressive rock and DJ-helmed stations.",0,3164
Who was hired to be the deputy director of the Office of Manned Space Flight?,"The engineers at Marshall Space Flight Center (MSFC) took longer to become convinced of its merits, but their conversion was announced by Wernher von Braun at a briefing in June 1962.",1,3139
What happened with the rate of flow in the Rhine with the straightening program?,The rate of flow was increased and the ground water level fell significantly.,0,463
When was the FIS founded?,The FIS won sweeping victories in local elections and it was going to win national elections in 1991 when voting was canceled by a military coup d'état.,1,1196
Who created the 2005 theme for Doctor Who?,American composer John Debney created a new arrangement of Ron Grainer's original theme for Doctor Who in 1996.,1,4883
Who discovered this and where did they come from?,"The development of this fertile soil allowed agriculture and silviculture in the previously hostile environment; meaning that large portions of the Amazon rainforest are probably the result of centuries of human management, rather than naturally occurring as has previously been supposed.",1,5462
What factors negatively impacted Jacksonville following the war?,Warfare and the long occupation left the city disrupted after the war.,0,276
When was Kenya Electricity Generating Company established?,"To become energy sufficient, Kenya aims to build a nuclear power plant by 2017.",1,3609
What is the purpose of the ASER?,"The Annual Status of Education Report (ASER), which evaluates learning levels in rural India, has been reporting poorer academic achievement in government schools than in private schools.",0,4910
When did Kublai attack Xiangyang?,"Kublai besieged Xiangyang between 1268 and 1273, the last obstacle in his way to capture the rich Yangzi River basin.",0,2498
What did the second stage in the Saturn V end up doing?,"The second and third stages burned liquid hydrogen, and the third stage was a modified version of the S-IVB, with thrust increased to 230,000 lbf (1,020 kN) and capability to restart the engine for translunar injection after reaching a parking orbit.",0,3365
Which two leading roles did Audra McDonald perform when she was in high school?,"After decades of neglect and suburban flight, the neighborhood revival followed the re-opening of the Tower Theatre in the late 1970s, which at that time showed second and third run movies, along with classic films.",1,4138
What do counties sometimes offer to get more teachers?,"Excellent job opportunities are expected as retirements, especially among secondary school teachers, outweigh slowing enrollment growth; opportunities will vary by geographic area and subject taught.[citation needed]",1,3522
What does ABC on Demand disallow for online viewers?,"Restrictions implemented by Disney–ABC Television Group on January 7, 2014 restrict streaming of the most recent episode of any ABC program on Hulu and WATCH ABC until eight days after their initial broadcast, in order to encourage live or same-week (via both DVR and cable on demand) viewing, with day-after-air streaming on either service limited to subscribers of participating pay television providers (such as Comcast, Verizon FiOS and Time Warner Cable) using an ISP account via an authenticated user login.",1,715
What is the name of the basin that was created from a enclosed lake?,"As the Andes Mountains rose, however, a large basin was created that enclosed a lake; now known as the Solimões Basin.",0,2011
What was Brisbane's job?,"In an interview with newspaper editor Arthur Brisbane, Tesla said that he did not believe in telepathy, stating, """,0,5065
What plants create most electric power?,The weight of boilers and condensers generally makes the power-to-weight ratio of a steam plant lower than for internal combustion engines.,1,3693
"What month, day and year did Super Bowl 50 take place?","The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0,1443
In 1517 who was Luther's bishop?,"On 31 October 1517, Luther wrote to his bishop, Albert of Mainz, protesting the sale of indulgences.",0,4076
What two factors can generally increase a teacher's salary?,"In addition to monetary compensation, public school teachers may also enjoy greater benefits (like health insurance) compared to other occupations.",1,1270
Gateways allowed private companies to do what,The business consisted of a large public network that supported dial-up users and a private network business that allowed government agencies and large companies (mostly banks and airlines) to build their own dedicated networks.,1,3610
When was the salary range listed valid for (month and year)?,"Salaries for Nursery, Primary and Secondary School teachers ranged from £20,133 to £41,004 in September 2007, although some salaries can go much higher depending on experience and extra responsibilities.",0,5377
How did Genghis Khan describe himself to the people of Bukhara?,"Survivors from the citadel were executed, artisans and craftsmen were sent back to Mongolia, young men who had not fought were drafted into the Mongolian army and the rest of the population was sent into slavery.",1,3269
What are two examples of cytotoxic or immunosuppressive drugs?,Anti-inflammatory drugs are often used to control the effects of inflammation.,1,865
Whose former headquarters was the WSE located in until 2000?,"It was re-established in April 1991, following the end of the post-war communist control of the country and the reintroduction of a free-market economy.",1,700
What thesis specifies that a polynomial relationship exists within time complexities in a computational model?,"This forms the basis for the complexity class P, which is the set of decision problems solvable by a deterministic Turing machine within polynomial time.",1,50
How high is Victoria's Mount Bogong?,"Victoria contains many topographically, geologically and climatically diverse areas, ranging from the wet, temperate climate of Gippsland in the southeast to the snow-covered Victorian alpine areas which rise to almost 2,000 m (6,600 ft), with Mount Bogong the highest peak at 1,986 m (6,516 ft).",0,903
Which Irish cities had large Huguenot enclaves?,"Significant Huguenot settlements were in Dublin, Cork, Portarlington, Lisburn, Waterford and Youghal.",0,757
What day was Super Bowl 50 media day switched to?,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night.",0,1520
What are the three main sources of European Union law?,"The three sources of European Union law are primary law, secondary law and supplementary law.",0,603
How did Luther describe the University of Erfurt?,"He was made to wake at four every morning for what has been described as ""a day of rote learning and often wearying spiritual exercises.""",1,3788
What monastery did the Saint-Evroul monks establish in Italy?,"Under the Norman abbot Robert de Grantmesnil, several monks of Saint-Evroul fled to southern Italy, where they were patronised by Robert Guiscard and established a Latin monastery at Sant'Eufemia.",0,5240
For which ABC Movie of the Week film did Steven Spielberg first gain success?,"On the television side, in September 1969, ABC launched the Movie of the Week, a weekly showcase aimed at capitalizing on the growing success of made-for-TV movies since the early 1960s.",1,4159
What types of European groups were able to avoid the plague?,"It was introduced in Norway in 1349 when a ship landed at Askøy, then spread to Bjørgvin (modern Bergen) and Iceland.",1,2814
"When did delegates to the World Methodist Council vote to adopt the joint Declaration on the Doctrine of Justification?""","It is also active in the World Methodist Council, an interdenominational group composed of various churches in the tradition of John Wesley to promote the Gospel throughout the world.",1,515
Why did Kublai's successors lose control of the rest of the Mongol empire?,"In time, Kublai Khan's successors lost all influence on other Mongol lands across Asia, while the Mongols beyond the Middle Kingdom saw them as too Chinese.",0,4219
What is a ligand on the cell surface that is upregulated after helper T cell activation?,"Helper T cells have a weaker association with the MHC:antigen complex than observed for killer T cells, meaning many receptors (around 200–300) on the helper T cell must be bound by an MHC:antigen in order to activate the helper cell, while killer T cells can be activated by engagement of a single MHC:antigen molecule.",1,218
Granite is made up largely of what chemical compound?,"The Earth's crustal rock is composed in large part of oxides of silicon (silica SiO_2, as found in granite and quartz), aluminium (aluminium oxide Al_2O_3, in bauxite and corundum), iron (iron(III) oxide Fe_2O_3, in hematite and rust), and calcium carbonate (in limestone).",0,3271
What do power station steam turbines use as a cold sink in the absence of CHP?,"Where CHP is not used, steam turbines in power stations use surface condensers as a cold sink.",0,511
"Along with mills and mines, in what industrial locations did steam drive machines?","Steam engines can be said to have been the moving force behind the Industrial Revolution and saw widespread commercial use driving machinery in factories, mills and mines; powering pumping stations; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles.",0,4786
What company developed the most successful steam engine indicator?,The most useful instrument for analyzing the performance of steam engines is the steam engine indicator.,1,3069
What year did AGOA take effect?,"Since AGOA took effect in 2000, Kenya's clothing sales to the United States increased from US$44 million to US$270 million (2006).[citation needed]",0,4438
What work from around 300 BC has significant theorems about prime numbers?,"There are hints in the surviving records of the ancient Egyptians that they had some knowledge of prime numbers: the Egyptian fraction expansions in the Rhind papyrus, for instance, have quite different forms for primes and for composites.",1,646
How high is Victoria's Mount Bogong?,There is an extensive series of river systems in Victoria.,1,1141
What is the largest co-ed independent school in Newcastle?,Newcastle School for Boys is the only independent boys' only school in the city and is situated in Gosforth.,1,105
Dendritic cells are named that because they resemble what?,"Dendritic cells serve as a link between the bodily tissues and the innate and adaptive immune systems, as they present antigens to T cells, one of the key cell types of the adaptive immune system.",1,5460
What author did Tesla credit for his recovery?,"He read many books while in Tomingaj, and later said that Mark Twain's works had helped him to miraculously recover from his earlier illness.",0,3138
"Which architect, famous for designing London's St. Paul Cathedral, is represented in the RIBA collection?","The RIBA's holdings of over 330 drawings by Andrea Palladio are the largest in the world, other Europeans well represented are Jacques Gentilhatre and Antonio Visentini.",1,2478
How many legions in five bases were along the Rhine by the Romans?,"The actual number of legions present at any base or in all, depended on whether a state or threat of war existed.",1,247
Which authority figure is designated to schedule and set the work of the EU?,"The Commission's President (currently an ex-Luxembourg Prime Minister, Jean-Claude Juncker) sets the agenda for the EU's work.",0,4360
Who found that a culture had developed where few Commissioners had any sense of responsibility?,"By contrast to the ECJ's relaxed approach, a Committee of Independent Experts found that a culture had developed where few Commissioners had ‘even the slightest sense of responsibility’.",0,1549
What is chloroplast DNA abbreviated as?,"Its existence was first proved in 1962, and first sequenced in 1986—when two Japanese research teams sequenced the chloroplast DNA of liverwort and tobacco.",1,1135
"If a detention requires a pupil to just sit there, how are they required to sit?","During detention, students normally have to sit in a classroom and do work, write lines or a punishment essay, or sit quietly.",0,5294
What happened to the credibility of secular politics as a result of the Six-Day War?,"A steep and steady decline in the popularity and credibility of secular, socialist and nationalist politics ensued.",0,2288
Who was Alfred S brown?,"In late 1886 Tesla met Alfred S. Brown, a Western Union superintendent, and New York attorney Charles F. Peck.",0,5380
What responsibilities were pharmacy technicians formerly limited to?,"Where it was once the case that pharmacists stayed within the dispensary compounding/dispensing medications, there has been an increasing trend towards the use of trained pharmacy technicians while the pharmacist spends more time communicating with patients.",0,290
What else was used by pharmas?,"Often the place that did this was called an apothecary and several languages have this as the dominant term, though their practices are more akin to a modern pharmacy, in English the term apothecary would today be seen as outdated or only approproriate if herbal remedies were on offer to a large extent.",1,1108
What are free-to-air encrypted broadcasts known as?,"Some broadcasts are free-to-air and unencrypted, some are encrypted but do not require a monthly subscription (known as free-to-view), some are encrypted and require a monthly subscription, and some are pay-per-view services.",0,2355
What popular environmentalist is also a university alumni member?,"In science, alumni include astronomers Carl Sagan, a prominent contributor to the scientific research of extraterrestrial life, and Edwin Hubble, known for ""Hubble's Law"", NASA astronaut John M. Grunsfeld, geneticist James Watson, best known as one of the co-discoverers of the structure of DNA, experimental physicist Luis Alvarez, popular environmentalist David Suzuki, balloonist Jeannette Piccard, biologists Ernest Everett",0,1087
Who hosted the bandstand show debuted on ABC in 1957?,"It was not until the late 1950s that the ABC network became a serious contender to NBC and CBS, and this was in large part due to the diverse range of programming that met the expectations of the public, such as westerns and detective series.",1,2030
How many yards did Newton throw for in 2015?,"The Panthers backfield featured Pro Bowl running back Jonathan Stewart, who led the team with 989 rushing yards and six touchdowns in 13 games, along with Pro Bowl fullback Mike Tolbert, who rushed for 256 yards and caught 18 passes for another 154 yards.",1,837
What university donated the land for the Manned Spacecraft Center?,"It became clear that managing the Apollo program would exceed the capabilities of Robert R. Gilruth's Space Task Group, which had been directing the nation's manned space program from NASA's Langley Research Center.",1,4610
The classification of aspects of the Amazon forest is important for mapping what type of emission?,"To accurately map the Amazon's biomass and subsequent carbon related emissions, the classification of tree growth stages within different parts of the forest is crucial.",0,3842
What Doctor Who mini-episode was shown during the Prom?,"It also featured the specially filmed mini-episode ""Music of the Spheres"", written by Russell T Davies and starring David Tennant.",0,3589
Scottish or Irish describe the type of what people in Newcastle have?,Many people in the city have Scottish or Irish ancestors.,0,4398
In which months does Fresno experience increased wind coming from the southeastern direction?,"Most of the wind rose direction occurrences derive from the northwest, as winds are driven downward along the axis of the California Central Valley; in December, January and February there is an increased presence of southeastern wind directions in the wind rose statistics.",0,3119
Who was New France's governor?,"He had primarily been concerned about the extended supply line to the forts on the Ohio, and had sent Baron Dieskau to lead the defenses at Frontenac against Shirley's expected attack.",1,3558
What was the cost of the other Super Bowl events in the San Francisco area?,"A professional fundraiser will aid in finding business sponsors and individual donors, but still may need the city council to help fund the event.",1,2556
What are incompetent government's commitment to social justice limited to?,"Islamist movements such as the Muslim Brotherhood, ""are well known for providing shelters, educational assistance, free or low cost medical clinics, housing assistance to students from out of town, student advisory groups, facilitation of inexpensive mass marriage ceremonies to avoid prohibitively costly dowry demands, legal assistance, sports facilities, and women's groups.",1,3871
What is more often seen in root tip maristems?,"Chloroplasts do not normally develop from proplastids in root tip meristems—instead, the formation of starch-storing amyloplasts is more common.",0,2942
"The term ""southern"" California usually refers to how many of the southern-most counties of the state?","When the state is divided into two areas (northern and southern California), the term ""southern California"" usually refers to the ten southern-most counties of the state.",0,2996
What is the last name of the player who was Manning's top receiver for Super Bowl 50?,"Linebacker Luke Kuechly had 11 total tackles, while Thomas Davis had seven, despite playing just two weeks after breaking his right arm in the NFC title game.",1,4100
What was persistent unemployment have a negative effect on?,"Unemployment can harm growth not only because it is a waste of resources, but also because it generates redistributive pressures and subsequent distortions, drives people to poverty, constrains liquidity limiting labor mobility, and erodes self-esteem promoting social dislocation, unrest and conflict.",1,3939
"Motion pictures, petroleum and aircraft manufacturing have been major industries since which decade?","Since the 1920s, motion pictures, petroleum and aircraft manufacturing have been major industries.",0,975
What was the national viewership reach of ABC in 1958?,"In 1957, ABC Entertainment president Ollie Treiz discovered that the locally produced variety show Bandstand had pulled very strong ratings in the Philadelphia market on WFIL-TV; Treiz ultimately negotiated a deal to take the show national, under the revised title American Bandstand; the show quickly became a social phenomenon by presenting new musical talent and dances to America's youth and helped make a star out of its host, Dick Clark.",1,554
What kind of diseases do drugs target apicoplasts for?,"The most important apicoplast function is isopentenyl pyrophosphate synthesis—in fact, apicomplexans die when something interferes with this apicoplast function, and when apicomplexans are grown in an isopentenyl pyrophosphate-rich medium, they dump the organelle.",1,3850
What was the subtitle of the Independence Day movie that had a trailer during the Super Bowl?,"20th Century Fox, Lionsgate, Paramount Pictures, Universal Studios and Walt Disney Studios paid for movie trailers to be aired during the Super Bowl.",1,3892
What device was one of the first to aid a controversy?,"It was not until January 1518 that friends of Luther translated the 95 Theses from Latin into German and printed and widely copied them, making the controversy one of the first in history to be aided by the printing press.",0,2139
What could the Supplemental Nutrition Assistance Program purchase?,"Conservative MP Alec Shelbrooke was proposing the payments of benefits and tax credits on a ""Welfare Cash Card"", in the style of the Supplemental Nutrition Assistance Program, that could be used to buy only ""essentials"".",0,2179
How did Luther smuggle 12 nuns out of a convent during the rebellion?,"At the time of their marriage, Katharina was 26 years old and Luther was 41 years old.",1,3175
Within the 30 days how many digiboxes had been sold?,"Within 30 days, over 100,000 digiboxes had been sold, which help bolstered BSkyB's decision to give away free digiboxes and minidishes from May 1999.",0,2700
Where can chloroplasts sometimes be found?,"All green parts of a plant contain chloroplasts—the chloroplasts, or more specifically, the chlorophyll in them are what make the photosynthetic parts of a plant green.",1,453
What religion were the Normans,"They adopted the Gallo-Romance language of the Frankish land they settled, their dialect becoming known as Norman, Normaund or Norman French, an important literary language.",1,4184
What aspect of Western medicine did the Chinese dislike?,"No Chinese translation of Western medical works is known, but it is possible that the Chinese had access to Avicenna's The Canon of Medicine.",1,4499
Who were the ESPN Deportes commentators for Super Bowl 50?,"The game was called by ESPN Deportes' Monday Night Football commentary crew of Alvaro Martin and Raul Allegre, and sideline reporter John Sutcliffe.",0,1083
How many doctors were in Kenya in 2011?,"Nurses treat 80% of the population who visit dispensaries, health centres and private clinics in rural and under-served urban areas.",1,3780
What show did Peter Jennings anchor for ABC?,the ABC News building was renamed Peter Jennings Way in 2006 in honor of the recently deceased longtime ABC News chief anchor and anchor of World News Tonight.,0,3053
Who analyzes rock samples from drill cores in the lab?,"In the laboratory, biostratigraphers analyze rock samples from outcrop and drill cores for the fossils found in them.",0,2160
Who broadcast the Super Bowl on TV?,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game.",0,4702
What time did a river system develop in the Upper Rhine Graben?,"At that time, it did not yet carry discharge from the Alps; instead, the watersheds of the Rhone and Danube drained the northern flanks of the Alps.",1,5268
Britain's support of France in which war led to Rodin donating many of his sculptures to the V&A?,"Rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside France; these were given to the museum by the sculptor in 1914, as acknowledgement of Britain's support of France in World War I, although the statue of St John the Baptist had been purchased in 1902 by public subscription.",0,123
Who caught a 16-yard pass on this drive?,"On the next play, Ealy knocked the ball out of Manning's hand as he was winding up for a pass, and then recovered it for Carolina on the 50-yard line.",1,2329
"What did Herr Gott, dich loben wir become known as ?","He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody.",1,4
Why did Confucians like the medical field?,Kublai created the Imperial Academy of Medicine to manage medical treatises and the education of new doctors.,1,1161
Who worked later on to find these missing magnetic tapes that had data stored on them?,"Stan Lebar, who led the team that designed and built the lunar television camera at Westinghouse Electric Corporation, also worked with Nafzger to try to locate the missing tapes.",0,2234
When was the Special Report on Renewable Energy Sources and Climate Change Mitigation (SRREN) issued?,"In the year 2011 two IPCC Special Report were finalized, the Special Report on Renewable Energy Sources and Climate Change Mitigation (SRREN) and the Special Report on Managing Risks of Extreme Events and Disasters to Advance Climate Change Adaptation (SREX).",0,2462
What kind of bureaucracy did the Normans institute?,"Institutionally, the Normans combined the administrative machinery of the Byzantines, Arabs, and Lombards with their own conceptions of feudal law and order to forge a unique government.",1,423
How many men were in Robert's army?,"After allying himself with Croatia and the Catholic cities of Dalmatia, in 1081 he led an army of 30,000 men in 300 ships landing on the southern shores of Albania, capturing Valona, Kanina, Jericho (Orikumi), and reaching Butrint after numerous pillages.",0,2955
"Which conjecture holds that for any positive integer n, there is an infinite amount of pairs of consecutive primes differing by 2n?",These conjectures are special cases of the broad Schinzel's hypothesis H. Brocard's conjecture says that there are always at least four primes between the squares of consecutive primes greater than 2.,1,3618
What is the English translation of Kunskapsskolan?,"For instance, the biggest school chain, Kunskapsskolan (“The Knowledge School”), offers 30 schools and a web-based environment, has 700 employees and teaches nearly 10,000 pupils.",0,5312
What are the two simple word responses to a decision problem?,"A decision problem can be viewed as a formal language, where the members of the language are instances whose output is yes, and the non-members are those instances whose output is no.",1,4165
When did Great Britain colonize Australia?,"The country of Australia serves as a case study in relation to British settlement and colonial rule of the continent in the eighteenth century, as it was premised on terra nullius, and its settlers considered it unused by its sparse Aboriginal inhabitants.",0,2233
How many hymns of Luther were included in the Achtliederbuch?,Luther's hymns were included in early Lutheran hymnals and spread the ideas of the Reformation.,1,543
When did Prime Minister Wilson commit to some form of devolved legislature?,The combined effect of these events led to Prime Minister Wilson committing his government to some form of devolved legislature in 1974.,0,1415
Why is Warsaw's flora very rich in species?,The flora of the city may be considered very rich in species.,1,5291
What type of steam engines produced most power up to the early 20th century?,"Considering that the great majority of worldwide electric generation is produced by turbine type steam engines, the ""steam age"" is continuing with energy levels far beyond those of the turn of the 19th century.",1,1241
Who were the astronauts aboard the Apollo 11 mission?,The astronauts returned safely on July 24.,1,2048
How are the combs spaced?,"From each balancer in the statocyst a ciliary groove runs out under the dome and then splits to connect with two adjacent comb rows, and in some species runs all the way along the comb rows.",1,3924
"What did CBS provide of the Super Bowl 50 broadcast for its website, some apps and media players?","Due to Verizon Communications exclusivity, streaming on smartphones was only provided to Verizon Wireless customers via the NFL Mobile service.",1,346
"How effective was the military use of the ""Afghan Arabs""?","The conflict, pitting indigenous impoverished Muslims (mujahideen) against an anti-religious superpower, galvanized thousands of Muslims around the world to send aid and sometimes to go themselves to fight for their faith.",1,5320
When did oxygen begin to move from the oceans to the atmosphere?,"For the first billion years, any free oxygen produced by these organisms combined with dissolved iron in the oceans to form banded iron formations.",1,925
What is the historic heart of Newcastle?,"Established on classical streets built by Richard Grainger, a builder and developer, between 1835 and 1842, some of Newcastle upon Tyne's finest buildings and streets lie within this area of the city centre including Grainger Market, Theatre Royal, Grey Street, Grainger Street and Clayton Street.",1,4506
In what year did Harvard President Joseph Willard die?,"Henry Ware was elected to the chair in 1805, and the liberal Samuel Webber was appointed to the presidency of Harvard two years later, which signaled the changing of the tide from the dominance of traditional ideas at Harvard to the dominance of liberal, Arminian ideas (defined by traditionalists as Unitarian ideas).:4–5:24",1,5228
"In a computational problem, what can be described as a string over an alphabet?","When considering computational problems, a problem instance is a string over an alphabet.",0,1551
What is the name of the desert on the border of Arizona?,To the south is the Mexico–United States border.,1,3820
Who is the producer of Doctor Who?,Doctor Who is a British science-fiction television programme produced by the BBC since 1963.,0,3657
Which uses of sculpture are represented in the collection?,The sculpture collection at the V&A is the most comprehensive holding of post-classical European sculpture in the world.,1,3262
Why is Jochi's reported alliance with the Muslims historically suspect?,"He concludes his story with the clearly apocryphal statement by Jochi: ""Genghis Khan is mad to have massacred so many people and laid waste so many lands.",1,2868
When did the ancestors of modern Homo sapiens inhabit Kenya?,"Recent findings near Lake Turkana indicate that hominids such as Homo habilis (1.8 and 2.5 million years ago) and Homo erectus (1.8 million to 350,000 years ago) are possible direct ancestors of modern Homo sapiens, and lived in Kenya in the Pleistocene epoch.",0,2260
What was the theorized maximum population density per square kilometre for the Amazon rainforest?,"For a long time, it was thought that the Amazon rainforest was only ever sparsely populated, as it was impossible to sustain a large population through agriculture given the poor soil.",1,3686
Who conducted the 2011 online vote?,"A 2012 article placed this childhood juxtaposition of fear and thrill ""at the center of many people's relationship with the show"", and a 2011 online vote at Digital Spy deemed the series the ""scariest TV show of all time"".",0,1554
What can be combined with geophysical data to produce a better view of the subsurface?,"In the laboratory, stratigraphers analyze samples of stratigraphic sections that can be returned from the field, such as those from drill cores.",1,4197
What type of theatre is the Warsaw Fotoplastikon?,A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the Katyń Museum which preserves the memory of the crime.,1,3785
What amount of the worlds carbon is stored in the Amazon forest?,Amazonian evergreen forests account for about 10% of the world's terrestrial primary productivity and 10% of the carbon stores in ecosystems—of the order of 1.1 × 1011 metric tonnes of carbon.,0,2238
To what century did the idea of ether belong?,"He was a believer in the 19th century concept of an all pervasive ""ether"" that transmitted electrical energy.",0,3913
What was the memoir entitled which was submitted to the American Philosophical Society?,"The results of his unaided labours were submitted to the American Philosophical Society in a memoir entitled Observations on the Geology of the United States explanatory of a Geological Map, and published in the Society's Transactions, together with the nation's first geological map.",0,4708
What health issue did Tesla suffer?,Nikola suffered a nervous breakdown at around the same time.,0,2857
How many scalar equations were formed into a set by James Maxwell?,"The origin of electric and magnetic fields would not be fully explained until 1864 when James Clerk Maxwell unified a number of earlier theories into a set of 20 scalar equations, which were later reformulated into 4 vector equations by Oliver Heaviside and Josiah Willard Gibbs.",0,4224
What actress played the last incarnation of the Doctor in the special?,"In 1999, another special, Doctor Who and the Curse of Fatal Death, was made for Comic Relief and later released on VHS.",1,1805
How much area does the University Library garden cover?,As the university garden it is open to the public every day.,1,5400
The Bank of America Tower was previously known as what?,"Other notable structures include the 37-story Wells Fargo Center (with its distinctive flared base making it the defining building in the Jacksonville skyline), originally built in 1972-74 by the Independent Life and Accident Insurance Company, and the 28 floor Riverplace Tower which, when completed in 1967, was the tallest precast, post-tensioned concrete structure in the world.",1,4303
What does computational complexity theory most specifically seek to answer?,"For this reason, complexity theory addresses computational problems and not particular problem instances.",0,5184
Which border does the Rhine flow from the south?,The Rhine flows into it from the south following the Swiss-Austrian border.,0,4502
What was the purpose of CSNET,"It played a significant role in spreading awareness of, and access to, national networking and was a major milestone on the path to development of the global Internet.",1,5043
"What brand sponsored the ""Crash the Super Bowl"" contest?",This would be the final year in a multi-year contract with Anheuser-Busch InBev that allowed the beer manufacturer to air multiple advertisements during the game at a steep discount.,1,1611
Where was France's Huguenot population largely centered?,"As Huguenots gained influence and more openly displayed their faith, Catholic hostility grew, in spite of increasingly liberal political concessions and edicts of toleration from the French crown.",1,3169
When do Plastoglobuli occur in linked groups?,"Plastoglobuli were once thought to be free-floating in the stroma, but it is now thought that they are permanently attached either to a thylakoid or to another plastoglobulus attached to a thylakoid, a configuration that allows a plastoglobulus to exchange its contents with the thylakoid network.",1,2005
What are teachers expected to give their students?,Teachers are expected to respect their students; sarcasm and attempts to humiliate pupils are seen as falling outside of what constitutes reasonable discipline.[verification needed],0,2222
What would a parent have to pay to send their child to a boarding school in 2012?,"As of 2012, quality private schools in the United States charged substantial tuition, close to $40,000 annually for day schools in New York City, and nearly $50,000 for boarding schools.",0,2529
